Test prediction MAE is:  27.773973811
target_datetime, predicted_value, real_value, training_MAE, predicting_MAE
2015/12/13 00:15,375.02707103084617,358.99335000000002,3.3937589094265816,3.659954058106757
2015/12/13 00:30,347.13523348384086,345.24963000000002,1.7367814767254504,2.001586388015943
2015/12/13 00:45,331.0866275811282,327.20706000000001,1.6700590892174225,1.0210807281014809
2015/12/13 01:00,322.2902031553084,316.47235000000001,2.5424277348841966,2.9193679024002592
2015/12/13 01:15,306.94216576601679,303.28316999999998,1.3034120256940356,1.2442069500486723
2015/12/13 01:30,301.06470163969385,293.33334000000002,1.2126870043403004,1.428973575872672
2015/12/13 01:45,287.94421044225857,287.17779999999999,3.6045943850248747,3.125506513256596
2015/12/13 02:00,293.08379285859723,287.48117000000002,1.12413086699101,1.1369631968102312
2015/12/13 02:15,291.71930704974886,286.51904000000002,1.2146434622446969,0.815259236962089
2015/12/13 02:30,304.06887202814175,283.79656999999997,4.720400625982308,3.1256111976303087
2015/12/13 02:45,292.68504513190669,282.04687999999999,1.3487946679264202,1.3473755337919813
2015/12/13 03:00,290.42337732593728,278.77017000000001,1.27114398443378,1.6372492647862145
2015/12/13 03:15,278.27406244189541,280.16665999999998,1.2940751328234004,2.390707174190365
2015/12/13 03:30,275.42858858300252,282.12407999999999,1.0877721526467055,1.2596507350546744
2015/12/13 03:45,288.54057940032448,280.49495999999999,1.3788018869023302,1.124505322836822
2015/12/13 04:00,314.52676380894081,278.63317999999998,3.277743170435921,2.5391338792534355
2015/12/13 04:15,282.80506458746964,278.98259999999999,1.6742688110818276,1.4227592299031784
2015/12/13 04:30,290.51572829192753,284.56894,5.014246728508004,3.129057682011586
2015/12/13 04:45,305.84607331754268,292.64980000000003,1.7031645615462268,1.7028294237472068
2015/12/13 05:00,309.75153191788615,301.96017000000001,2.0637288794871003,2.6482114690479848
2015/12/13 05:15,334.22933039104498,324.98284999999998,2.1562814046140497,2.6858271081362233
2015/12/13 05:30,359.70428787618511,338.56830000000002,2.244217391660695,7.322581769569965
2015/12/13 05:45,379.47992981373147,359.73433999999997,2.3305948414362305,1.855503533449547
2015/12/13 06:00,397.46136790204633,367.18552,2.882032605770592,3.813190294151423
2015/12/13 06:15,406.04022726090994,400.28217000000001,3.786837458500212,11.704113612805662
2015/12/13 06:30,459.43986085232422,411.38772999999998,3.5929473942794723,5.082650085433803
2015/12/13 06:45,452.32525825502262,432.36365000000001,3.1675416107067615,4.954693681210506
2015/12/13 07:00,462.07562710804689,437.00576999999998,4.2420675062664595,7.678847219231787
2015/12/13 07:15,479.40107549719306,462.43677000000002,9.921868020874928,26.916513965177852
2015/12/13 07:30,513.42164409553857,480.52145000000002,5.540416935005909,25.513079880563016
2015/12/13 07:45,497.37362927963443,488.91370000000001,5.457175978443768,5.92114983034079
2015/12/13 08:00,507.63357019517264,485.36500000000001,3.521930547317213,6.429822136603045
2015/12/13 08:15,521.81615608539266,515.2681,4.080318089311043,3.9124585875979307
2015/12/13 08:30,540.4260803848731,513.05773999999997,3.8053058903753243,7.003412019783463
2015/12/13 08:45,538.08767580038671,528.49710000000005,4.050833490875616,4.028144203275408
2015/12/13 09:00,556.25910735659829,537.78710000000001,4.238991844923364,8.289752742630814
2015/12/13 09:15,520.31037661277242,536.37329999999997,5.5594519666265265,17.970972297671885
2015/12/13 09:30,547.06209255976148,542.05975000000001,4.286145004050901,10.52329585411049
2015/12/13 09:45,550.4881042264069,538.32929999999999,4.666183136429296,3.7301133145242744
2015/12/13 10:00,563.48820973308318,541.84784000000002,4.31501728929906,3.5075976730995024
2015/12/13 10:15,553.59651786876475,551.86800000000005,4.56089958185273,10.444904893942859
2015/12/13 10:30,545.26015691112059,556.18364999999994,8.042399578347489,9.37808065834563
2015/12/13 10:45,556.40002042901631,554.55240000000003,3.857974765025263,5.509137838142243
2015/12/13 11:00,583.76130102917784,558.49130000000002,4.119053597502218,9.086087378900135
2015/12/13 11:15,550.05331303837374,559.58605999999997,5.091293180692027,10.078779290880167
2015/12/13 11:30,576.38513619839921,562.97429999999997,8.062014367513433,5.359063208232897
2015/12/13 11:45,546.6431502206193,565.21180000000004,4.309846659050422,6.162224870278362
2015/12/13 12:00,562.45399737131356,554.51586999999995,4.912251208684858,4.848422045161044
2015/12/13 12:15,523.19530644029953,546.40160000000003,3.8894396669080487,13.74333904296077
2015/12/13 12:30,561.30369661155999,547.29065000000003,3.7134239884822247,7.741791685939768
2015/12/13 12:45,522.02145853113063,557.90545999999995,3.922615822105962,5.574165786941279
2015/12/13 13:00,454.06199906554616,554.43304000000001,22.30632782216226,27.00364686546776
2015/12/13 13:15,534.09171537852615,555.90093999999999,3.325183740170383,6.051445515783172
2015/12/13 13:30,550.6156581423129,552.78674000000001,5.079101617382877,9.374555035797414
2015/12/13 13:45,539.72242876554458,562.51984000000004,9.437732507730951,10.143512325968668
2015/12/13 14:00,551.01261855977168,561.37725999999998,4.586769308426072,4.068626037415913
2015/12/13 14:15,564.58559127417459,559.6336,15.690954331119318,26.970273883089398
2015/12/13 14:30,570.51066414194543,557.4393,4.7644365567359,11.413063396814886
2015/12/13 14:45,550.13887151234871,564.06433000000004,4.179339979528441,5.1080747351554745
2015/12/13 15:00,545.63024916425377,571.76215000000002,4.732041118498752,3.9186282520134683
2015/12/13 15:15,543.29050522704631,580.83669999999995,4.510320401621109,10.801169468957823
2015/12/13 15:30,546.94410010835145,584.84540000000004,6.09084414991376,11.216025479718684
2015/12/13 15:45,539.37555451473042,581.32129999999995,5.300515179807952,8.277272061464197
