Test prediction MAE is:  75.6067814222
target_datetime, predicted_value, real_value, training_MAE, predicting_MAE
2015/12/13 00:15,375.20874050050304,358.99335000000002,1.4360091605712983,1.2023166119964372
2015/12/13 00:30,323.09553113994485,345.24963000000002,1.2770228222895823,1.585436549993588
2015/12/13 00:45,338.95927825904312,327.20706000000001,1.2285028220533063,1.2753665509735583
2015/12/13 01:00,290.54076770005429,316.47235000000001,1.2545525962234314,1.4619680549992922
2015/12/13 01:15,285.51190319740249,303.28316999999998,1.1167537433269095,1.1756862074927938
2015/12/13 01:30,302.58561156780161,293.33334000000002,1.0951532620928102,1.7160446654667538
2015/12/13 01:45,304.51212923272487,287.17779999999999,1.173413908899612,1.606042039158646
2015/12/13 02:00,271.02932784644452,287.48117000000002,1.0377971781786026,1.3735672453957506
2015/12/13 02:15,300.10324629254461,286.51904000000002,1.0005440170438649,1.1185838576734881
2015/12/13 02:30,253.69914982665759,283.79656999999997,1.0679033483453575,1.4273606805267576
2015/12/13 02:45,307.12355859909661,282.04687999999999,0.9325551514035366,0.7671769663592045
2015/12/13 03:00,291.75771414163728,278.77017000000001,1.0302552122215165,2.061278249969118
2015/12/13 03:15,104.57348909459857,280.16665999999998,0.9806861168472899,2.632966668515101
2015/12/13 03:30,173.77369862354149,282.12407999999999,0.9329661265223821,0.9465380215514557
2015/12/13 03:45,265.06924147669008,280.49495999999999,0.8654267334232468,1.33593261195972
2015/12/13 04:00,265.07806225828597,278.63317999999998,0.8527196293100253,1.3129750658810935
2015/12/13 04:15,274.41370958414848,278.98259999999999,1.2347643097824499,1.77397391597097
2015/12/13 04:30,282.25073413075495,284.56894,1.304822851877929,1.547851948145788
2015/12/13 04:45,299.95832190523043,292.64980000000003,1.3133615009429902,2.2311354794908254
2015/12/13 05:00,319.85850383375015,301.96017000000001,1.618320491253728,2.1462908091189035
2015/12/13 05:15,338.14905927905176,324.98284999999998,1.7406364512380987,2.3683776795790323
2015/12/13 05:30,355.74670100743839,338.56830000000002,1.9019894079400828,5.231961969043257
2015/12/13 05:45,378.29369182779845,359.73433999999997,1.8112408835728844,1.7640593078757945
2015/12/13 06:00,367.47262099203903,367.18552,1.9589921541583961,4.782567249373264
2015/12/13 06:15,422.58293447502081,400.28217000000001,2.7877379905035684,6.377852091000324
2015/12/13 06:30,459.889502953521,411.38772999999998,2.554040344087649,4.4761266897897
2015/12/13 06:45,465.47441431809091,432.36365000000001,2.5066277013735636,5.189792103829911
2015/12/13 07:00,255.25291102582761,437.00576999999998,2.9266473321348236,8.262812019120958
2015/12/13 07:15,454.43376207829175,462.43677000000002,5.966447567057403,25.745841693720525
2015/12/13 07:30,520.37818839253418,480.52145000000002,2.892915410796168,25.405470641697825
2015/12/13 07:45,496.34820105115989,488.91370000000001,2.8519288961336584,4.1694689810244885
2015/12/13 08:00,520.04448220808513,485.36500000000001,2.892115077031019,5.008827579214608
2015/12/13 08:15,466.33820466924453,515.2681,3.2583321599011668,4.8028510887033375
2015/12/13 08:30,587.02395390801473,513.05773999999997,2.8882189974535297,8.40961953378544
2015/12/13 08:45,315.09905277461428,528.49710000000005,3.17775852191418,5.683160400078466
2015/12/13 09:00,330.98576993467782,537.78710000000001,2.931726616805292,9.076016617470222
2015/12/13 09:15,343.49257391720647,536.37329999999997,4.097682312922779,7.599912829880933
2015/12/13 09:30,768.41336799955195,542.05975000000001,4.450568259501819,8.420953632622764
2015/12/13 09:45,350.70962528300657,538.32929999999999,2.9706952750996627,5.348623526699086
2015/12/13 10:00,570.68563860069196,541.84784000000002,3.72095626721251,4.946711274832285
2015/12/13 10:15,406.13649280944179,551.86800000000005,3.5222309980517945,8.728463513659571
2015/12/13 10:30,556.78511954321459,556.18364999999994,3.2940494587437814,7.709018949541047
2015/12/13 10:45,740.69794287042998,554.55240000000003,3.0825856503966347,7.5478500274812514
2015/12/13 11:00,471.01316886265295,558.49130000000002,3.280254058659124,3.5049249794383344
2015/12/13 11:15,546.73087007719766,559.58605999999997,3.751575637658384,8.68617528176066
2015/12/13 11:30,509.60578171047723,562.97429999999997,3.6120926407807064,6.731821919853848
2015/12/13 11:45,483.75994000836806,565.21180000000004,3.1400112323639835,5.746806436934901
2015/12/13 12:00,386.74148669220335,554.51586999999995,3.7909278478398,8.285656360605344
2015/12/13 12:15,500.98175943563695,546.40160000000003,3.2037509662544057,9.932391138031553
2015/12/13 12:30,442.21535897650358,547.29065000000003,2.9680683291546583,5.816383941620666
2015/12/13 12:45,650.87575993364135,557.90545999999995,3.15924369660145,5.739812401771308
2015/12/13 13:00,505.48634291668225,554.43304000000001,2.9729865723840914,5.628420896238845
2015/12/13 13:15,541.07543459888802,555.90093999999999,3.1590950859757867,5.611806266202757
2015/12/13 13:30,509.68377076445074,552.78674000000001,3.5798328467025806,11.120067740695237
2015/12/13 13:45,260.41401427730904,562.51984000000004,3.1750583241458736,5.069107076469242
2015/12/13 14:00,462.68461812579312,561.37725999999998,3.4716459126238632,11.765527258745028
2015/12/13 14:15,532.74959925630219,559.6336,3.133944020155675,10.080007418488085
2015/12/13 14:30,522.0746294252192,557.4393,3.286845632349791,9.455752596402363
2015/12/13 14:45,619.67487820649944,564.06433000000004,2.9819310463417747,5.4249888443870535
2015/12/13 15:00,495.69064059622076,571.76215000000002,3.3641499647085595,6.189564239630448
2015/12/13 15:15,846.15989039494093,580.83669999999995,3.590053770404287,11.612916499929213
2015/12/13 15:30,505.15381255140358,584.84540000000004,4.373471654034344,11.070921926891709
