predict score is:  42.31235094target_datetime, prediction_value, real_value, training_score(MAE), predicting_score(MAE)
2015/12/13 00:15,371.80029863238292,358.99335000000002,22.53294101793279,23.00452363149257
2015/12/13 00:30,354.58539405812451,345.24963000000002,22.182250106203135,22.382447557033355
2015/12/13 00:45,341.54266424746567,327.20706000000001,21.415142716079313,22.4442067460789
2015/12/13 01:00,327.96863273126354,316.47235000000001,21.436410990994304,21.65402972920148
2015/12/13 01:15,317.07023615099007,303.28316999999998,20.795722326949576,21.110417148720323
2015/12/13 01:30,312.34417895676916,293.33334000000002,20.49157843087554,20.89694245494217
2015/12/13 01:45,310.87820622596917,287.17779999999999,20.29856359881487,20.38869672438315
2015/12/13 02:00,309.63630639880807,287.48117000000002,19.944725296461854,20.537477896485637
2015/12/13 02:15,305.27630001844148,286.51904000000002,19.438796875712445,19.825706516065917
2015/12/13 02:30,302.96326231331091,283.79656999999997,19.047632759349835,20.005445311180026
2015/12/13 02:45,300.83859050439918,282.04687999999999,18.650175130485557,19.895758502247993
2015/12/13 03:00,301.18491731928293,278.77017000000001,17.439424888860945,20.546015318204176
2015/12/13 03:15,301.69345482272638,280.16665999999998,18.536571084480535,19.427318321693384
2015/12/13 03:30,299.94107419901394,282.12407999999999,18.75317068504355,18.67716519782183
2015/12/13 03:45,298.91173266025635,280.49495999999999,18.796846035730688,18.26535315916882
2015/12/13 04:00,300.77725058854566,278.63317999999998,19.40940884028643,18.47897458533442
2015/12/13 04:15,307.34133332485027,278.98259999999999,20.38272649883283,19.857979321520986
2015/12/13 04:30,314.74055329699002,284.56894,20.447258820076694,20.299938792886714
2015/12/13 04:45,325.66510570942262,292.64980000000003,20.93776284314417,21.089129205325982
2015/12/13 05:00,345.93791878947695,301.96017000000001,22.489780000687016,20.62436278614792
2015/12/13 05:15,366.1107568384171,324.98284999999998,22.788435803965292,21.015804835330442
2015/12/13 05:30,380.3565143784632,338.56830000000002,22.822933655839776,13.57856037691533
2015/12/13 05:45,389.66643533059585,359.73433999999997,23.66866330598421,14.065233329895426
2015/12/13 06:00,427.83429240811211,367.18552,24.60603289826436,15.470121407651998
2015/12/13 06:15,440.22733695807608,400.28217000000001,27.027417855460346,12.0081353915135
2015/12/13 06:30,479.08864126521433,411.38772999999998,32.3299288641205,19.38758351211604
2015/12/13 06:45,499.20695199632081,432.36365000000001,36.75336890423835,25.844612697774107
2015/12/13 07:00,529.2871277111625,437.00576999999998,44.53898585978832,35.39181021112897
2015/12/13 07:15,542.52301424937218,462.43677000000002,48.4317083177912,28.27749292492215
2015/12/13 07:30,581.12171767588097,480.52145000000002,52.09370088137326,39.55073714070042
2015/12/13 07:45,588.20403527749841,488.91370000000001,58.44298023738827,39.98134711099626
2015/12/13 08:00,610.38131515348095,485.36500000000001,63.95506696854465,40.70653903068633
2015/12/13 08:15,620.17342046466365,515.2681,67.41290541070688,43.339749639394405
2015/12/13 08:30,637.04476030544299,513.05773999999997,67.86898449174224,48.31942074434982
2015/12/13 08:45,640.6447849140925,528.49710000000005,68.3451843060009,47.896697931271106
2015/12/13 09:00,645.80439185722457,537.78710000000001,65.6260462702204,51.01378230003951
2015/12/13 09:15,633.35471958661117,536.37329999999997,65.5199065225819,42.51189533462307
2015/12/13 09:30,639.56294440423449,542.05975000000001,64.81726358331314,47.908111023367624
2015/12/13 09:45,638.47576661912558,538.32929999999999,63.76947022357235,50.77305379528116
2015/12/13 10:00,648.40278631261276,541.84784000000002,63.09398648066224,53.295554550089946
2015/12/13 10:15,634.76333028555098,551.86800000000005,63.074018678338504,44.485008728440455
2015/12/13 10:30,645.43591249850954,556.18364999999994,62.65976951991232,51.60696449880747
2015/12/13 10:45,641.688270571462,554.55240000000003,62.90704093387842,48.24407145716938
2015/12/13 11:00,651.83474006004826,558.49130000000002,61.96743095715701,55.16422205404071
2015/12/13 11:15,638.89341759143622,559.58605999999997,62.89899083618697,48.13253633229142
2015/12/13 11:30,644.72909745587731,562.97429999999997,62.555086316931494,52.75274071028955
2015/12/13 11:45,635.28899513816634,565.21180000000004,61.929493263119355,50.77868059671848
2015/12/13 12:00,626.60434135800904,554.51586999999995,60.40372142228554,51.49353022216771
2015/12/13 12:15,609.33690456009776,546.40160000000003,60.21607784284536,41.18468469206843
2015/12/13 12:30,624.21088679172294,547.29065000000003,59.95581536889882,48.599693433378356
2015/12/13 12:45,612.50834114729503,557.90545999999995,59.224959773783134,45.102823917836034
2015/12/13 13:00,543.21518847682569,554.43304000000001,7.253797115559839,6.314305090609514
2015/12/13 13:15,613.45267513449915,555.90093999999999,61.11534092645996,41.832581107599324
2015/12/13 13:30,634.20250224340555,552.78674000000001,60.47758072202144,47.62381979470521
2015/12/13 13:45,624.87108254099758,562.51984000000004,61.66833674417409,45.863512286857286
2015/12/13 14:00,550.98912343847076,561.37725999999998,8.350172242546012,5.976703186720528
2015/12/13 14:15,536.87963028521472,559.6336,8.422758250823696,8.333660649240812
2015/12/13 14:30,564.2708295447917,557.4393,7.931210998753286,8.871260976837396
2015/12/13 14:45,541.35574350898571,564.06433000000004,7.88950616901869,7.985471431374441
2015/12/13 15:00,555.43192969077552,571.76215000000002,8.470558742801302,5.131764820846689
2015/12/13 15:15,579.02371643097149,580.83669999999995,24.365050298154745,16.249899714959206
2015/12/13 15:30,603.1954228120868,584.84540000000004,27.897830733019283,25.437276768735256
2015/12/13 15:45,547.50989889300592,581.32129999999995,8.343732346758502,11.41525852396702
2015/12/13 16:00,558.76398029062045,585.43380000000002,8.016821102711063,5.841007872735167
