next_n_time,prediction,origin,training_score,predicting_score
57,601.24340797683089,555.69470000000001,0.33911245857773398,-0.28557811245914233
58,650.11078550928119,579.41769999999997,-0.0035976770357162291,-2.7990524837436266
59,575.26229138969347,566.63099999999997,0.33969090659334633,-0.8874557795146516
60,630.09210374811812,565.78409999999997,0.012735025235580233,-1.5031215312904496
61,643.43701411185816,567.22479999999996,0.083136853524033771,-1.1650185286355517
62,628.29136879238024,582.57335999999998,0.15679829838749615,-1.0248668194250441
63,571.1219546253534,579.38440000000003,-1.0517939680467032,-1.0078244286834974
64,631.83774407805981,569.76953000000003,0.20183490110037638,-0.96397879428119915
65,646.39977480066045,576.43146000000002,0.27016814497339858,-0.77417699881309932
66,656.82187619826823,594.25256000000002,0.012181000462633042,-1.0408902483862867
67,563.69293107854094,599.09900000000005,0.42757446811605559,-0.89756022163673643
68,635.40019122242711,614.94299999999998,0.099175829755122957,-0.006905911578674484
69,563.62058590502568,614.6739,0.40566394796517957,-0.33505046802878802
70,582.86040089297489,629.28039999999999,0.43326553589937672,-0.25253838749765012
71,661.80904911884534,621.47550000000001,7.7415183035167701e-06,-0.47735758703447256
72,644.78995771675898,613.95667000000003,0.064588020032823601,0.075056083843497823
73,654.31527229522464,610.20180000000005,6.3498263377370634e-06,-0.46157350735215297
74,647.16558833244346,615.29560000000004,0.02914977813530328,-0.1444204649143761
75,651.86477372469687,615.78503000000001,1.9625860115946026e-06,-0.84127655831608583
76,637.10662341130649,597.55237,1.4797504589436627e-06,-0.56413891551188078
77,637.17588788773105,584.62896999999998,1.7181990304981911e-06,-0.50851705675741576
78,570.98407034315574,589.32709999999997,0.41603012616814433,-0.62964593913744005
79,579.81228532234093,580.17999999999995,0.43771917230668694,-0.2761327404706917
80,576.89006225910225,565.87670000000003,0.34308539423733864,-0.048994556063942651
81,614.6353093236653,555.22580000000005,2.1202931266284253e-07,-0.96830142839914568
82,575.49189070951968,561.66112999999996,0.3265800068884569,-0.36714174403235833
83,604.39391504039838,553.46576000000005,9.0620818882225507e-07,-1.2419221663556814
84,545.38478768104324,555.31830000000002,0.447674597798562,-0.43043858146032976
85,537.01141800568234,534.07349999999997,0.4142036549874113,-0.2931947565411015
86,572.95232962398904,531.12963999999999,7.7243520402170418e-07,-0.55810047291743681
87,587.26150317776455,533.72320000000002,0.30072999387749999,-1.3995763349417745
88,548.82144448264785,515.36834999999996,3.9410572483244977e-07,-0.61564063946213388
89,539.50460590860473,506.54178000000002,2.4597679026960861e-07,-8.4361418280026115
90,518.27187194681289,484.50443000000001,2.5316476370829122e-07,-7.0754280904107407
91,498.1560454073857,470.13916,4.9233098919909679e-07,-8.4214773801376364
92,478.20844275084943,464.91622999999998,4.105391996356289e-07,-10.75166047719358
93,448.62249542781103,431.06952000000001,3.9358742276451864e-07,-12.247439884095067
94,414.54470111363958,418.89800000000002,2.1507610137305733e-09,-10.402338462510956
95,384.83828387002768,382.39603,1.8465773465869972e-07,-9.7408599643309337
