date,prediction,origin,training score,predicting score
2015/4/15 04:30,[ 267.63775255],0.0,0.9845948444643543,0.98326431709449891
2015/4/15 04:45,[ 267.73165637],0.0,0.96440936220486662,0.96001404652679045
2015/4/15 05:00,[ 266.53420479],0.0,0.92797619708774004,0.90473399685943745
2015/4/15 05:15,[ 275.22428177],0.0,0.88906931289619917,0.86703707103787886
2015/4/15 05:30,[ 278.23289821],0.0,0.83686115065474587,0.78127070899177209
2015/4/15 05:45,[ 285.99323513],0.0,0.78593296759290843,0.70168845183093109
2015/4/15 06:00,[ 289.24348683],0.0,0.73293268548070412,0.53657487315741015
2015/4/15 06:15,[ 294.60152382],0.0,0.67568084436850762,0.54298628307516994
2015/4/15 06:30,[ 327.8758694],0.0,0.61259471420698275,0.50886013942014996
2015/4/15 06:45,[ 334.44120569],0.0,0.56065040958616685,0.32547809525793492
2015/4/15 07:00,[ 362.96303364],0.0,0.49492407113435416,0.34040471253408777
2015/4/15 07:15,[ 370.00042431],0.0,0.42888687223635125,0.16857532269204978
2015/4/15 07:30,[ 388.64672277],0.0,0.36681891484112072,0.14182665042975739
2015/4/15 07:45,[ 401.75586763],0.0,0.32975292844919435,0.043095680271611925
2015/4/15 08:00,[ 408.44768368],0.0,0.29522907551670674,0.026253550041437146
2015/4/15 08:15,[ 420.93948652],0.0,0.27355369740640634,-0.085101618383448985
2015/4/15 08:30,[ 423.94718365],0.0,0.24496737749465436,-0.089415540271662541
2015/4/15 08:45,[ 449.91106722],0.0,0.25225491661979893,-0.19756543545557492
2015/4/15 09:00,[ 475.2725244],0.0,0.24953772142464001,-0.25223393386326287
2015/4/15 09:15,[ 473.83226229],0.0,0.24747858544755466,-0.29823759603343158
2015/4/15 09:30,[ 507.79697974],0.0,0.2512469589147599,-0.28948830892084065
2015/4/15 09:45,[ 515.38154098],0.0,0.27370923311096451,-0.19226368098050872
2015/4/15 10:00,[ 515.21718482],0.0,0.31204914920595206,-0.26782234027730856
2015/4/15 10:15,[ 502.119886],0.0,0.33255318464474415,-0.40117798918407299
2015/4/15 10:30,[ 518.05743642],0.0,0.34833347307685025,-0.33421933909291801
2015/4/15 10:45,[ 499.48071541],0.0,0.36235123729523278,-0.25999948992568034
2015/4/15 11:00,[ 532.77078858],0.0,0.3631252728197063,-0.24611350500186077
2015/4/15 11:15,[ 514.72495682],0.0,0.40501804099447802,-0.43016844524234038
2015/4/15 11:30,[ 544.96628636],0.0,0.41769912462672709,-0.29593222972682143
2015/4/15 11:45,[ 574.25271223],0.0,0.43140048001784437,-0.4113153976564306
2015/4/15 12:00,[ 545.99273769],0.0,0.4483779451572979,-0.41053925738033148
2015/4/15 12:15,[ 535.35424231],0.0,0.43765788613278167,-0.19885536496864642
2015/4/15 12:30,[ 523.23227448],0.0,0.45394569751178848,-0.14376964250664059
2015/4/15 12:45,[ 551.38834422],0.0,0.45794873012420401,-0.13359851707149151
2015/4/15 13:00,[ 539.30440313],0.0,0.46308913477739344,-0.11042952394764849
2015/4/15 13:15,[ 545.76486292],0.0,0.49343650100546088,-0.1517544143838605
2015/4/15 13:30,[ 538.09534895],0.0,0.48028139776184431,-0.051834473193297377
2015/4/15 13:45,[ 523.75181526],0.0,0.47923658330718977,-0.011031099984402326
2015/4/15 14:00,[ 528.6490871],0.0,0.49520063915000873,-0.023300388872115274
2015/4/15 14:15,[ 536.04076372],0.0,0.48449131517159894,0.0091550107502903488
2015/4/15 14:30,[ 540.22366545],0.0,0.48572778034075581,0.12263937022430772
2015/4/15 14:45,[ 530.82403453],0.0,0.48225226706677138,0.063465261404107132
2015/4/15 15:00,[ 544.97859328],0.0,0.48117958022623752,0.20194692938042916
2015/4/15 15:15,[ 521.40556552],0.0,0.47196175386656436,0.052176340383129453
2015/4/15 15:30,[ 538.99939848],0.0,0.46713253262193388,0.041873650353199787
2015/4/15 15:45,[ 532.72298014],0.0,0.47067342037535831,-0.10401020811422645
2015/4/15 16:00,[ 532.01450689],0.0,0.48417430053877042,-0.03947985388214259
2015/4/15 16:15,[ 548.75825375],0.0,0.47973976068929702,-0.069195829267048481
2015/4/15 16:30,[ 527.98795945],0.0,0.49145209445258836,-0.11845459143559167
2015/4/15 16:45,[ 549.34067137],0.0,0.49534914391707874,-0.1974287649939033
2015/4/15 17:00,[ 542.17944878],0.0,0.50506699879056338,-0.28633119428187737
2015/4/15 17:15,[ 547.48066125],0.0,0.52038563012762262,-0.15553477157597495
2015/4/15 17:30,[ 545.85449771],0.0,0.52744645801416201,-0.2444571940105944
2015/4/15 17:45,[ 547.39886253],0.0,0.5303335140808676,-0.29147438665626835
2015/4/15 18:00,[ 555.28682497],0.0,0.54027454302422084,-0.41188353952428658
2015/4/15 18:15,[ 563.40789692],0.0,0.54722227130423617,-0.45785253517165297
2015/4/15 18:30,[ 552.23809309],0.0,0.55563858570673852,-0.39726229131347401
2015/4/15 18:45,[ 572.51553323],0.0,0.54960755311062992,-0.50659515231416896
2015/4/15 19:00,[ 571.2054733],0.0,0.54618023648161218,-0.46935571163863488
2015/4/15 19:15,[ 559.87012508],0.0,0.53412804193980268,-0.57057301416895068
2015/4/15 19:30,[ 592.31371832],0.0,0.52772426765482128,-0.48854228288966661
2015/4/15 19:45,[ 586.3761445],0.0,0.51060123127689216,-0.59027176028644579
2015/4/15 20:00,[ 564.7266538],0.0,0.48958958974247424,-0.6358324844219243
2015/4/15 20:15,[ 564.63061358],0.0,0.46844630740805004,-0.53101681459629413
2015/4/15 20:30,[ 545.02153984],0.0,0.43039677986323799,-0.82624148448433798
